2025-03-23 15:01:42 - Jugador desconectado, total: 1
2025-03-23 15:01:43 - Jugador conectado: second, total: 2
2025-03-23 15:01:43 - Jugador desconectado, total: 1
2025-03-23 15:01:44 - Jugador conectado: second, total: 2
2025-03-23 15:01:45 - Mensaje recibido: {'move': 1, 'timestamp': 1742742105972}
2025-03-23 15:01:45 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:46 - Mensaje recibido: {'move': 0, 'timestamp': 1742742106156}
2025-03-23 15:01:46 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:47 - Mensaje recibido: {'move': 1, 'timestamp': 1742742107100}
2025-03-23 15:01:47 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:47 - Mensaje recibido: {'move': 0, 'timestamp': 1742742107246}
2025-03-23 15:01:47 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:47 - Mensaje recibido: {'move': 1, 'timestamp': 1742742107324}
2025-03-23 15:01:47 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:47 - Mensaje recibido: {'move': 0, 'timestamp': 1742742107703}
2025-03-23 15:01:47 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:47 - Mensaje recibido: {'move': -1, 'timestamp': 1742742107891}
2025-03-23 15:01:47 - Movimiento reenviado a otro jugador: -1
2025-03-23 15:01:48 - Mensaje recibido: {'move': -1, 'timestamp': 1742742108397}
2025-03-23 15:01:48 - Movimiento reenviado a otro jugador: -1
2025-03-23 15:01:48 - Mensaje recibido: {'move': -1, 'timestamp': 1742742108429}
2025-03-23 15:01:48 - Movimiento reenviado a otro jugador: -1
2025-03-23 15:01:48 - Mensaje recibido: {'move': 0, 'timestamp': 1742742108432}
2025-03-23 15:01:48 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:50 - Mensaje recibido: {'move': -1, 'timestamp': 1742742110128}
2025-03-23 15:01:50 - Movimiento reenviado a otro jugador: -1
2025-03-23 15:01:50 - Mensaje recibido: {'move': 0, 'timestamp': 1742742110425}
2025-03-23 15:01:50 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:50 - Mensaje recibido: {'move': -1, 'timestamp': 1742742110816}
2025-03-23 15:01:50 - Movimiento reenviado a otro jugador: -1
2025-03-23 15:01:50 - Mensaje recibido: {'move': 0, 'timestamp': 1742742110948}
2025-03-23 15:01:50 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:51 - Mensaje recibido: {'move': 1, 'timestamp': 1742742111276}
2025-03-23 15:01:51 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:51 - Mensaje recibido: {'move': 1, 'timestamp': 1742742111787}
2025-03-23 15:01:51 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:51 - Mensaje recibido: {'move': 1, 'timestamp': 1742742111818}
2025-03-23 15:01:51 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:51 - Mensaje recibido: {'move': 1, 'timestamp': 1742742111849}
2025-03-23 15:01:51 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:51 - Mensaje recibido: {'move': 1, 'timestamp': 1742742111880}
2025-03-23 15:01:51 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:51 - Mensaje recibido: {'move': 1, 'timestamp': 1742742111912}
2025-03-23 15:01:51 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:51 - Mensaje recibido: {'move': 1, 'timestamp': 1742742111943}
2025-03-23 15:01:51 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:51 - Mensaje recibido: {'move': 1, 'timestamp': 1742742111989}
2025-03-23 15:01:51 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:52 - Mensaje recibido: {'move': 1, 'timestamp': 1742742112020}
2025-03-23 15:01:52 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:52 - Mensaje recibido: {'move': 1, 'timestamp': 1742742112050}
2025-03-23 15:01:52 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:52 - Mensaje recibido: {'move': 0, 'timestamp': 1742742112080}
2025-03-23 15:01:52 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:52 - Mensaje recibido: {'move': -1, 'timestamp': 1742742112288}
2025-03-23 15:01:52 - Movimiento reenviado a otro jugador: -1
2025-03-23 15:01:52 - Mensaje recibido: {'move': 0, 'timestamp': 1742742112695}
2025-03-23 15:01:52 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:52 - Mensaje recibido: {'move': 1, 'timestamp': 1742742112921}
2025-03-23 15:01:52 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113422}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113467}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113500}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113532}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113562}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113594}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113624}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113655}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113685}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113715}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113764}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113795}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113825}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113856}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113886}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113918}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113949}
